experiment	session	item	condition	baseFile	contextFile	Manipulation	ManipulationCoding	design	question	qType	qAnswer1	qAnswer2	question2	q2Type	q2Answer1	q2Answer2	question3	q3Type	q3Answer1	q3Answer2	instructions
nonceITL	1	1	1	baga	ba_equal_ga_equal_i11_p11_d11.wav	i11_p11_d11	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	1	2	gaba	ga_equal_ba_equal_i11_p11_d11_reverse.wav	i11_p11_d11	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	2	1	baga	ba_equal_ga_equal_i11_p11_d12.wav	i11_p11_d12	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	2	2	gaba	ga_equal_ba_equal_i11_p11_d12_reverse.wav	i11_p11_d12	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	3	1	baga	ba_equal_ga_equal_i11_p11_d13.wav	i11_p11_d13	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	3	2	gaba	ga_equal_ba_equal_i11_p11_d13_reverse.wav	i11_p11_d13	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	4	1	baga	ba_equal_ga_equal_i11_p11_d14.wav	i11_p11_d14	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	4	2	gaba	ga_equal_ba_equal_i11_p11_d14_reverse.wav	i11_p11_d14	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	5	1	baga	ba_equal_ga_equal_i11_p11_d21.wav	i11_p11_d21	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	5	2	gaba	ga_equal_ba_equal_i11_p11_d21_reverse.wav	i11_p11_d21	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	6	1	baga	ba_equal_ga_equal_i11_p11_d31.wav	i11_p11_d31	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	6	2	gaba	ga_equal_ba_equal_i11_p11_d31_reverse.wav	i11_p11_d31	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	7	1	baga	ba_equal_ga_equal_i11_p11_d41.wav	i11_p11_d41	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	7	2	gaba	ga_equal_ba_equal_i11_p11_d41_reverse.wav	i11_p11_d41	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	8	1	baga	ba_equal_ga_equal_i12_p11_d11.wav	i12_p11_d11	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	8	2	gaba	ga_equal_ba_equal_i12_p11_d11_reverse.wav	i12_p11_d11	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	9	1	baga	ba_equal_ga_equal_i12_p11_d12.wav	i12_p11_d12	Forward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
nonceITL	1	9	2	gaba	ga_equal_ba_equal_i12_p11_d12_reverse.wav	i12_p11_d12	Backward	LatinSquare	Which word did you hear in the sequence?	mcF	baga	gaba	Which syllable did you hear as stressed?	mcF	BAga	baGA	Which syllable did you hear as stressed?	mcF	GAba	gaBA	instructions.txt
